Section 1 (Committers - past and present)

gwatson
btibbitts
crasmussen
dkurniawan
kchu
ndebardeleben
rroberts
tli
wspear

Section 2 (Developers)

component (CVS directory),bug #,contributor's name,contribution size (LOC),committer,description (if no bug #)
org.eclipse.ptp.tau,138250,Wyatt Spear,1450,gwatson,
org.eclipse.ptp.ui,204942,Feiyi Wang,288,gwatson,
org.eclipse.ptp.orte.proxy,,Christopher Arges,10,gwatson,Proxy message wrapper functions
org.eclipse.ptp.ui,201779,David Wootton,65,gwatson,
org.eclipse.ptp.remotetools,199784,Richard Maciel/Daniel Ferber/Ricardo Matinata,24630,gwatson,
org.eclipse.ptp.ibm.pe,206947,David Wootton,6754,gwatson
org.eclipse.ptp.ibm.ll,213484,David Wootton,7157,gwatson
org.eclipse.ptp.remotetools,213608,Daniel Ferber,1,gwatson,
org.eclipse.ptp.remotetools,213619,Daniel Ferber,9,gwatson,
org.eclipse.ptp.remotetools,213705,Daniel Ferber,959,gwatson,
org.eclipse.ptp.remotetools,218620,Daniel Ferber,2,gwatson,
org.eclipse.ptp.ibm.pe,216932,David Wootton,5715,gwatson
org.eclipse.ptp.ibm.pe,219021,David Wootton,1013,gwatson
org.eclipse.ptp.ibm.pe,220470,David Wootton,5859,gwatson


Section 3 (Third Party Software)

None
